rijksregisternummer;naam;voornaam
94.07.25-124.89;Lemmens;Elke
96.99.11-133.71;Janssens;Jef
02.122.12-122.32;Elen;Marieke
99.07.01-005.56;Hendriks;Hendrik
93.07.25-1248.89;Lemmens;Elke
00.10.11-133.71;Janssens;Jef
12.122.12-122.32;Elen;Marieke
89.07.01-005.56;Hendriks;Hendrik
99.07.25-124.89;Lemmens;Elke
95.10.11-133.71;Janssens;Jef
12.12.12-122.32;Elen;Marieke
19.07.01-005.56;Hendriks;Hendrik
93.07.25-124.89;Lemmens;Elke
87.10.11-133.71;Janssens;Jef
12.12.22-122.32;Elen;Marieke
39.07.01-005.56;Hendriks;Hendrik
04.07.25-124.89;Lemmens;Elke
06.10.11-133.71;Janssens;Jef
22.12.12-122.32;Elen;Marieke
49.07.01-005.56;Hendriks;Hendrik
43.07.25-124.89;Lemmens;Elke
01.10.11-133.71;Janssens;Jef
32.122.12-122.32;Elen;Marieke
88.07.01-005.56;Hendriks;Hendrik
90.07.25-124.89;Lemmens;Elke
25.10.11-133.71;Janssens;Jef
14.12.12-122.32;Elen;Marieke
79.07.01-005.56;Hendriks;Hendrik
73.07.25-124.88;Lemmens;Elke
77.10.11-133.71;Janssens;Jef
62.12.22-122.32;Elen;Marieke
49.07.01-005.56;Hendriks;Hendrik
